opendata_id,city,postcode,latitude,longitude,ihk_branch_id,nace_id,branch_top_level_id,employees_range,ihk_branch_desc,nace_desc,branch_top_level_desc,business_age,business_type,Bezirk,planungsraum_id,Planungsraum,Bezirksregion,Prognoseraum,Ortsteil
8111556462,Berlin,10785,52.500531989,13.360468342,81301,8130,81,0 Beschäftigte,Garten- u. Landschaftsbau,Garten- u. Landschaftsbau sowie Erbringung v. sonstigen gärt,Gebäudebetreuung; Garten- u. Landschaftsbau,27,im Handelsregister eingetragen,Mitte,01100103,Lützowstraße,Tiergarten Süd,Zentrum,Tiergarten
83959561838,Berlin,13409,52.569550811,13.360992408,71121,7112,71,4 - 6 Beschäftigte,Ingenieurbüros f. bautechnische Gesamtplanung,Ingenieurbüros,"Architektur- u. Ingenieurbüros; technische, physikalische u.",12,Kleingewerbetreibender,Reinickendorf,12100204,Schäfersee,Ost 2 - Alt-Reinickendorf,Reinickendorf Ost,Reinickendorf
85304561218,Berlin,12163,52.463806817,13.329103050,463400,4634,46,1 - 3 Beschäftigte,"GH m. Wein, Sekt u. Spirituosen",GH m. Getränken,Großhandel (ohne Handel mit Kraftfahrzeugen u. Krafträdern),27,Kleingewerbetreibender,Steglitz-Zehlendorf,06100103,Markelstraße,Schloßstraße,Steglitz,Steglitz
8867556702,Berlin,12555,52.451787181,13.581116871,7490001,7490,74,0 Beschäftigte,Sachverständige a. n. g.,"Sonstige freiberufliche, wissenschaftliche u. technische Tät","Sonstige freiberufliche, wissenschaftliche u. technische Tät",27,Kleingewerbetreibender,Treptow-Köpenick,09501941,Friedrichshagener Straße,Dammvorstadt,Treptow-Köpenick 5,Köpenick
91776061104,Berlin,12161,52.474711363,13.325478808,27900,2790,27,1 - 3 Beschäftigte,H. v. sonstigen elektrischen Ausrüstungen u. Geräten a. n. g,H. v. sonstigen elektrischen Ausrüstungen u. Geräten a. n. g,H. v. elektrischen Ausrüstungen,26,Kleingewerbetreibender,Tempelhof-Schöneberg,07300515,Taunusstraße,Friedenau West,Friedenau,Friedenau
9120856834,Berlin,10829,52.471640328,13.365953632,4690,4690,46,0 Beschäftigte,GH ohne ausgeprägten Schwerpunkt,GH ohne ausgeprägten Schwerpunkt,Großhandel (ohne Handel mit Kraftfahrzeugen u. Krafträdern),26,Kleingewerbetreibender,Tempelhof-Schöneberg,07400822,Lindenhofsiedlung,Tempelhof Südwest,Tempelhof,Schöneberg
95281061124,Berlin,10825,52.480462500,13.346171909,464920,4649,46,4 - 6 Beschäftigte,GH m. Sport- u. Campingartikeln (ohne Campingmöbel),GH m. sonstigen Gebrauchs- u. Verbrauchsgütern,Großhandel (ohne Handel mit Kraftfahrzeugen u. Krafträdern),26,Kleingewerbetreibender,Tempelhof-Schöneberg,07200308,Volkspark (Rudolph-Wilde-Park),Schöneberg Südwest,Schöneberg Süd,Schöneberg
100428061712,Berlin,10719,52.501665144,13.325473667,683220,6832,68,20 - 49 Beschäftigte,Verwaltung v. Gewerbeobjekten / Gebäudemanagement,"Verwaltung v. Grundstücken, Gebäuden u. Wohnungen f. Dritte",Grundstücks- u. Wohnungswesen,26,Kleingewerbetreibender,Charlottenburg-Wilmersdorf,04501042,Breitscheidplatz,Lietzenburger Straße,Wilmersdorf Zentrum,Charlottenburg
98950561802,Berlin,10117,52.514557362,13.388981086,68,68,68,1 - 3 Beschäftigte,Grundstücks- u. Wohnungswesen,Grundstücks- u. Wohnungswesen,Grundstücks- u. Wohnungswesen,26,Kleingewerbetreibender,Mitte,01100206,Unter den Linden,Regierungsviertel,Zentrum,Mitte
104915561662,Berlin,10777,52.497478317,13.348024817,46187,4618,46,1 - 3 Beschäftigte,"HV v. Büchern, Zeitschriften, Zeitungen, Musikalien u. sonst",HV v. sonstigen Waren,Großhandel (ohne Handel mit Kraftfahrzeugen u. Krafträdern),26,im Handelsregister eingetragen,Tempelhof-Schöneberg,07100102,Kalckreuthstraße,Schöneberg Nordwest,Schöneberg Nord,Schöneberg
100921561686,Berlin,10119,52.533663367,13.398783832,92001,9200,92,4 - 6 Beschäftigte,Spielhallen u. Betrieb v. Spielautomaten,"Spiel-, Wett- u. Lotteriewesen","Spiel-, Wett- u. Lotteriewesen",36,Kleingewerbetreibender,Mitte,01100416,Arkonaplatz,Brunnenstraße Süd,Zentrum,Mitte
102825061300,Berlin,12435,52.491245117,13.457770479,47650,4765,47,0 Beschäftigte,EH m. Spielwaren,EH m. Spielwaren,Einzelhandel (ohne Handel mit Kraftfahrzeugen),26,im Handelsregister eingetragen,Treptow-Köpenick,09100101,Alt-Treptow,Alt-Treptow,Treptow-Köpenick 1,Alt-Treptow
114919561678,Berlin,12053,52.478297272,13.437263538,62020,6202,62,0 Beschäftigte,Erbringung v. Beratungsleistungen auf dem Gebiet der Informa,Erbringung v. Beratungsleistungen auf dem Gebiet der Informa,Erbringung v. Dienstleistungen der Informationstechnologie,26,im Handelsregister eingetragen,Neukölln,08100207,Rollberg,Neuköllner Mitte/Zentrum,Neukölln,Neukölln
115332061328,Berlin,12309,52.386846855,13.410611425,451101,4511,45,1 - 3 Beschäftigte,EH m. neuen u. gebrauchten Kraftwagen: Personenkraftwagen ei,"Handel m. Kraftwagen mit einem Gesamtgewicht v. 3,5 t oder w",Handel mit Kraftfahrzeugen; Instandhaltung u. Reparatur v. K,26,im Handelsregister eingetragen,Tempelhof-Schöneberg,07601548,Wittelsbacherstraße,Lichtenrade Süd,Marienfelde / Lichtenrade,Lichtenrade
10718156726,Berlin,10245,52.509733422,13.461842354,829995,8299,82,0 Beschäftigte,"Ablesen / Erstellen v. Gas-, Wasser-, Strom- u. Wärmemengenz",Erbringung sonstiger wirtschaftlicher Dienstleistungen f. Un,Erbringung v. wirtschaftlichen Dienstleistungen f. Unternehm,26,im Handelsregister eingetragen,Friedrichshain-Kreuzberg,02500833,Boxhagener Platz,Frankfurter Allee Süd FK,Friedrichshain Ost,Friedrichshain
105475061900,Berlin,12687,52.556099124,13.558477647,79110,7911,79,0 Beschäftigte,Reisebüros,Reisebüros,"Reisebüros, Reiseveranstalter u. Erbringung sonstiger Reserv",26,Kleingewerbetreibender,Marzahn-Hellersdorf,10100208,Bürgerpark,Marzahn Mitte,Marzahn,Marzahn
123250561002,Berlin,10553,52.525995616,13.319659136,46470,4647,46,4 - 6 Beschäftigte,"GH m. Möbeln, Teppichen, Lampen u. Leuchten","GH m. Möbeln, Teppichen, Lampen u. Leuchten",Großhandel (ohne Handel mit Kraftfahrzeugen u. Krafträdern),25,Kleingewerbetreibender,Mitte,01200517,Huttenkiez,Moabit West,Moabit,Moabit
13357006280,Berlin,12683,52.519365400,13.566965928,56104,5610,56,10 - 19 Beschäftigte,Cafés,"Restaurants, Gaststätten, Imbissstuben, Cafés, Eissalons u.",Gastronomie,22,Kleingewerbetreibender,Marzahn-Hellersdorf,10300732,Buckower Ring,Biesdorf,Biesdorf,Biesdorf
134928561714,Berlin,10969,52.504789361,13.393343874,81100,8110,81,0 Beschäftigte,Hausmeisterdienste,Hausmeisterdienste,Gebäudebetreuung; Garten- u. Landschaftsbau,25,im Handelsregister eingetragen,Friedrichshain-Kreuzberg,02100102,Mehringplatz,Südliche  Friedrichstadt,Kreuzberg Nord,Kreuzberg
