opendata_id,city,postcode,latitude,longitude,ihk_branch_id,nace_id,branch_top_level_id,employees_range,ihk_branch_desc,nace_desc,branch_top_level_desc,business_age,business_type,Bezirk,planungsraum_id,Planungsraum,Bezirksregion,Prognoseraum,Ortsteil
47560306412,Berlin,13053,52.542307293,13.516818468,4751,4751,47,4 - 6 Beschäftigte,EH m. Textilien,EH m. Textilien,Einzelhandel (ohne Handel mit Kraftfahrzeugen),16,Kleingewerbetreibender,Lichtenberg,11200411,Hauptstraße,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,Alt-Hohenschönhausen
478401061604,Berlin,10707,52.498830729,13.307873861,79110,7911,79,0 Beschäftigte,Reisebüros,Reisebüros,"Reisebüros, Reiseveranstalter u. Erbringung sonstiger Reserv",16,im Handelsregister eingetragen,Charlottenburg-Wilmersdorf,04501043,Preußenpark,Lietzenburger Straße,Wilmersdorf Zentrum,Wilmersdorf
489375061500,Berlin,13156,52.583551583,13.402840553,741021,7410,74,0 Beschäftigte,Grafik- / Fotodesign,"Ateliers f. Textil-, Schmuck-, Grafik- u. ä. Design","Sonstige freiberufliche, wissenschaftliche u. technische Tät",15,im Handelsregister eingetragen,Pankow,03200206,Pastor-Niemöller-Platz,Blankenfelde/Niederschönhausen,Nördliches Pankow,Niederschönhausen
899782871276,Berlin,12105,52.458977976,13.363528910,47111,4711,47,0 Beschäftigte,"EH m. Nahrungs- u. Genussmitteln, Getränken u. Tabakwaren, o","EH m. Waren verschiedener Art, Hauptrichtung Nahrungs- u. Ge",Einzelhandel (ohne Handel mit Kraftfahrzeugen),34,im Handelsregister eingetragen,Tempelhof-Schöneberg,07400822,Lindenhofsiedlung,Tempelhof Südwest,Tempelhof,Schöneberg
2050047071490,Berlin,12103,52.465097126,13.376270762,68321,6832,68,1 - 3 Beschäftigte,"Verwaltung v. Wohngrundstücken, Wohngebäuden u. Wohnungen f.","Verwaltung v. Grundstücken, Gebäuden u. Wohnungen f. Dritte",Grundstücks- u. Wohnungswesen,30,im Handelsregister eingetragen,Tempelhof-Schöneberg,07400823,Wittekindstraße,Tempelhof Südwest,Tempelhof,Tempelhof
499500060,Berlin,10719,52.502336414,13.329366198,64200,6420,64,0 Beschäftigte,Beteiligungsgesellschaften,Beteiligungsgesellschaften,Erbringung v. Finanzdienstleistungen,15,Kleingewerbetreibender,Charlottenburg-Wilmersdorf,04501042,Breitscheidplatz,Lietzenburger Straße,Wilmersdorf Zentrum,Charlottenburg
60323227774,Berlin,10555,52.526597248,13.330670762,59202,5920,59,0 Beschäftigte,Verlegen v. bespielten Tonträgern,Tonstudios; H. v. Hörfunkbeiträgen; Verlegen v. bespielten T,"Herstellung, Verleih u. Vertrieb v. Filmen u. Fernsehprogram",15,im Handelsregister eingetragen,Mitte,01200521,Zwinglistraße,Moabit West,Moabit,Moabit
629777471258,Berlin,12157,52.465051918,13.344163830,47210,4721,47,0 Beschäftigte,"EH m. Obst, Gemüse u. Kartoffeln","EH m. Obst, Gemüse u. Kartoffeln",Einzelhandel (ohne Handel mit Kraftfahrzeugen),15,im Handelsregister eingetragen,Tempelhof-Schöneberg,07300619,Grazer Platz,Friedenau Ost,Friedenau,Schöneberg
64642507750,Berlin,10999,52.498615757,13.427689995,77390,7739,77,0 Beschäftigte,"Vermietung v. sonstigen Maschinen, Geräten u. beweglichen Sa","Vermietung v. sonstigen Maschinen, Geräten u. beweglichen Sa",Vermietung v. beweglichen Sachen,14,Kleingewerbetreibender,Friedrichshain-Kreuzberg,02300417,Reichenberger Straße West,Südliche Luisenstadt,Kreuzberg Ost,Kreuzberg
64691227374,Berlin,10405,52.539765798,13.432121343,799001,7990,79,0 Beschäftigte,"Fremdenführer, Reiseleiter, Stadtführer",Erbringung sonstiger Reservierungsdienstleistungen,"Reisebüros, Reiseveranstalter u. Erbringung sonstiger Reserv",14,im Handelsregister eingetragen,Pankow,03701657,Thälmannpark,Prenzlauer Berg Süd,Südlicher Prenzlauer Berg,Prenzlauer Berg
66307447248,Berlin,12459,52.458840190,13.526741122,472400,4724,47,0 Beschäftigte,EH m. Backwaren,EH m. Back- u. Süßwaren,Einzelhandel (ohne Handel mit Kraftfahrzeugen),14,im Handelsregister eingetragen,Treptow-Köpenick,09200511,Griechischer Park,Oberschöneweide,Treptow-Köpenick 2,Oberschöneweide
65894107470,Berlin,12627,52.537777905,13.602382085,47710,4771,47,0 Beschäftigte,EH m. Bekleidung,EH m. Bekleidung,Einzelhandel (ohne Handel mit Kraftfahrzeugen),14,im Handelsregister eingetragen,Marzahn-Hellersdorf,10200421,Helle Mitte,Hellersdorf Nord,Hellersdorf,Hellersdorf
70393807460,Berlin,10965,52.486765071,13.390685031,69204,6920,69,0 Beschäftigte,Buchführung (ohne Datenverarbeitungsdienste),Wirtschaftsprüfung u. Steuerberatung; Buchführung,"Rechts- u. Steuerberatung, Wirtschaftsprüfung",13,im Handelsregister eingetragen,Friedrichshain-Kreuzberg,02200211,Chamissokiez,Tempelhofer Vorstadt,Kreuzberg Süd,Kreuzberg
714458471528,Berlin,10319,52.497037752,13.519356108,82999,8299,82,0 Beschäftigte,Erbringung v. anderen wirtschaftlichen Dienstleistungen f. U,Erbringung sonstiger wirtschaftlicher Dienstleistungen f. Un,Erbringung v. wirtschaftlichen Dienstleistungen f. Unternehm,13,im Handelsregister eingetragen,Lichtenberg,11401137,Erieseering,Friedrichsfelde Süd,Lichtenberg Mitte,Friedrichsfelde
7224168756,Berlin,10969,52.499903537,13.399751583,479198,4791,47,0 Beschäftigte,Verkauf über Internet / e-commerce / Onlinehandel,Versand- u. Interneteinzelhandel,Einzelhandel (ohne Handel mit Kraftfahrzeugen),13,im Handelsregister eingetragen,Friedrichshain-Kreuzberg,02100105,Prinzenstraße,Südliche  Friedrichstadt,Kreuzberg Nord,Kreuzberg
719193071310,Berlin,14167,52.429645282,13.281987948,46712,4671,46,1 - 3 Beschäftigte,GH m. Mineralölerzeugnissen,GH m. festen Brennstoffen u. Mineralölerzeugnissen,Großhandel (ohne Handel mit Kraftfahrzeugen u. Krafträdern),12,Kleingewerbetreibender,Steglitz-Zehlendorf,06300632,Schweizer Viertel,Drakestraße,Zehlendorf Süd/Lichterfelde West,Lichterfelde
727161071870,Berlin,13086,52.550534093,13.444023394,475911,4759,47,1 - 3 Beschäftigte,EH m. Laden- u. Objekteinrichtungen,"EH m. Möbeln, Einrichtungsgegenständen u. sonstigem Hausrat",Einzelhandel (ohne Handel mit Kraftfahrzeugen),12,im Handelsregister eingetragen,Pankow,03500935,Behaimstraße,Weißensee,Südliches Weißensee,Weißensee
724536071120,Berlin,10179,52.506377612,13.416576605,47510,4751,47,0 Beschäftigte,EH m. Textilien,EH m. Textilien,Einzelhandel (ohne Handel mit Kraftfahrzeugen),12,im Handelsregister eingetragen,Mitte,01100313,Heine-Viertel Ost,Alexanderplatz,Zentrum,Mitte
